txn_id,order_date,customer_id,region,channel,category,product_id,quantity,unit_price,discount_rate,returned,ship_date,delivery_date
T0001,2025-01-02,C001,North,App,Grocery,P101,3,120.0,0.05,N,2025-01-02,2025-01-04
T0002,2025-01-03,C002,South,Web,Electronics,P205,1,1500.0,0.1,N,2025-01-03,2025-01-05
T0003,2025-01-03,C001,North,App,Grocery,P102,5,60.0,0.0,Y,2025-01-03,2025-01-08
T0004,2025-01-05,C003,East,Store,Home,P310,2,800.0,0.15,N,2025-01-06,2025-01-07
T0005,2025-01-05,C004,West,Web,Fashion,P450,4,250.0,0.07,N,2025-01-05,2025-01-09
T0006,2025-01-08,C005,South,App,Electronics,P206,1,900.0,0.2,Y,2025-01-08,2025-01-10
T0007,2025-01-10,C002,South,Web,Electronics,P205,2,1500.0,0.05,N,2025-01-10,2025-01-12
T0008,2025-01-12,C006,East,App,Home,P311,1,400.0,0.0,N,2025-01-12,2025-01-12
T0009,2025-01-15,C007,North,Store,Fashion,P451,3,180.0,0.1,N,2025-01-15,2025-01-18
T0010,2025-01-18,C008,West,Web,Grocery,P103,10,25.0,0.0,N,2025-01-18,2025-01-19
T0011,2025-01-20,C001,North,App,Electronics,P207,1,2200.0,0.12,N,2025-01-20,2025-01-27
T0012,2025-01-22,C009,East,Web,Home,P312,2,650.0,0.08,Y,2025-01-22,2025-01-29
